2023Jun11	 08:06:68	 1dfe7e64-6c5a-4c10-8089-5a88e0cde50e	 GET	 undefined	 /index
2023Jun11	 08:06:76	 8e1f61cd-f516-4ba6-8c58-321a90bff394	 GET	 undefined	 /mycs.css
2023Jun11	 08:06:76	 4d077190-060a-4af2-9c07-cc03f5074a22	 GET	 undefined	 /images/opportunity-7065790.png
2023Jun11	 09:06:92	 ead0bfa2-06d8-47e3-9d09-906f43c51e82	 GET	 undefined	 /home
2023Jun11	 09:06:86	 d413f663-356a-4f9b-8e6d-dc3c0ef518ee	 GET	 undefined	 /index
2023Jun11	 09:06:89	 d296334b-9c82-43a2-b29d-c5e34e3a94f4	 GET	 undefined	 /mycs.css
2023Jun11	 09:06:90	 b7ec7884-f1f3-4073-ac6f-e35c187a85d7	 GET	 undefined	 /images/opportunity-7065790.png
2023Jun11	 09:06:70	 63690aff-77f1-4167-b314-823b81ff1887	 GET	 undefined	 /mycs.css
2023Jun11	 09:06:69	 4ecb0bdd-9d45-4364-8028-21d56952782d	 GET	 undefined	 /index
2023Jun11	 09:06:79	 25744040-a580-4588-9f74-116803107651	 GET	 undefined	 /mycs.css
2023Jun11	 09:06:80	 dffa7aad-12a5-46e3-8f0c-f565bf3e8836	 GET	 undefined	 /images/opportunity-7065790.png
